,function_name,solver_name,seed,experiment_id,max_steps
3,median_2,cma_es,4,0ac253a6-d6cf-40c4-96bc-c731de28c7be,309
4,median_2,cma_es,5,002a9131-ca5b-4531-9a42-19b103ec5a63,309
0,median_2,random_line_bo,1,5eb71468-9724-4b12-a680-245cda28bf86,309
1,median_2,random_line_bo,2,b1c2d0b1-ca2d-4267-b771-68bb5a5df147,309
2,median_2,random_line_bo,3,6b06c3fd-07bc-45ab-a27a-72c128219e10,309
3,median_2,random_line_bo,4,1d2fd84e-d97c-4ada-9c81-69d417ad256e,309
4,median_2,random_line_bo,5,00d72ced-e4e2-47b2-8f07-58af4f412fcf,309
0,median_2,coordinate_line_bo,1,240b4ea2-aceb-4bed-9551-2e7ff1c77e74,309
1,median_2,coordinate_line_bo,2,5fb7fe5a-36cf-4e35-8d69-c9913142eaf0,309
2,median_2,coordinate_line_bo,3,737c5346-c656-4679-8a08-76a4d7f64d30,309
3,median_2,coordinate_line_bo,4,7a128039-a7b6-4490-a250-85a8760fd305,309
4,median_2,coordinate_line_bo,5,34dbc099-0673-4211-a54a-0d01a28c2d87,309
0,median_2,turbo,1,d051bbba-e27f-4684-9fd8-7cdbcd2d3e12,309
1,median_2,turbo,2,d4df6e8e-16bf-4176-8743-c0fc40f7d5e3,309
2,median_2,turbo,3,739cc24e-3a3a-45ee-ae81-ac2bdf9c1bb7,309
3,median_2,turbo,4,25aa2e10-359d-4d95-8abf-35f4e14111d6,309
4,median_2,turbo,5,7a374372-91cd-48d0-8deb-a2d49cececa9,309
0,median_2,vanilla_bo_hvarfner,1,63bc1cfe-4906-49f2-aee4-a1401ae44f80,12
1,median_2,vanilla_bo_hvarfner,2,4d8889dd-9d10-422b-afbf-d00ae8021ded,12
2,median_2,vanilla_bo_hvarfner,3,98d8fb64-b8f1-4d17-bd31-9cb5555018e3,12
3,median_2,vanilla_bo_hvarfner,4,e22d2cfd-8179-41cb-9871-c6072208fb32,12
4,median_2,vanilla_bo_hvarfner,5,48ce8af5-850a-49a8-98fc-c12923c849a9,12
0,median_2,pr,1,2fdc452d-2a0b-43d6-aa9c-a3f426c95dc5,12
1,median_2,pr,2,15ce2c55-8c04-4d5e-a182-4388ebaa1fb7,12
2,median_2,pr,3,6e0c25a3-a31d-4f5f-bbe7-31d72aa585d3,12
3,median_2,pr,4,1921c62d-8acc-4a47-b681-46267bf132ec,12
4,median_2,pr,5,1ab512f3-031f-4c7e-a47e-887e08d067be,12
0,median_2,saas_bo,1,12392b78-d749-46cc-8864-8fed83b6bae7,12
1,median_2,saas_bo,2,53bfcc01-ae58-421d-ab0f-e9c08f92f594,12
2,median_2,saas_bo,3,605cae48-4aa1-405c-8519-df12f2981db6,12
3,median_2,saas_bo,4,34cc2273-b859-43e3-87fa-6c6e8de2012b,12
4,median_2,saas_bo,5,7fa4a66d-ecf8-4859-84ba-669d10fa5589,12
0,mestranol_similarity,directed_evolution,1,0790645e-8f26-4479-b014-298dc117fbf7,309
1,mestranol_similarity,directed_evolution,2,df91d83a-012f-42ec-b8c1-9cd5896e86cd,309
2,mestranol_similarity,directed_evolution,3,bc12e08b-8233-49e0-87d7-c750c384f58a,309
3,mestranol_similarity,directed_evolution,4,001590e0-6517-41eb-9361-a2949960a1ca,309
4,mestranol_similarity,directed_evolution,5,0fa9c4c1-89c3-45b4-9c8e-6f68e365a885,309
0,mestranol_similarity,hill_climbing,1,7733a6f1-016c-4be4-8ec3-d7da2ba822e7,309
1,mestranol_similarity,hill_climbing,2,655e022d-3b57-45c4-b819-37167339c6d7,309
2,mestranol_similarity,hill_climbing,3,3e9f6e61-e56c-4bb8-8c16-28a54ae76f4e,309
3,mestranol_similarity,hill_climbing,4,14cc0c5d-0e0e-4cbe-95b2-184cea2ea905,309
4,mestranol_similarity,hill_climbing,5,70f37da9-c683-4c9e-9414-1a4e9a6cd517,309
0,mestranol_similarity,genetic_algorithm,1,424505fe-87c0-43bf-b945-bca944168e42,309
1,mestranol_similarity,genetic_algorithm,2,923f4dbd-b2f2-4083-8f65-339c51b4e2ac,309
2,mestranol_similarity,genetic_algorithm,3,46342aab-5ab6-4fc6-bdd7-4c62872a5051,309
3,mestranol_similarity,genetic_algorithm,4,8b007255-bc9c-4d92-8624-0940d0572143,309
4,mestranol_similarity,genetic_algorithm,5,902a88f3-e404-426c-a395-37a7e05ea37a,309
0,mestranol_similarity,cma_es,1,97e893e9-989e-452c-b2e6-710e77b7f81e,309
